Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
167,tt0468492,2018-04-14,2018-04-14,,Gwoemul,https://www.imdb.com/title/tt0468492/,movie,7.1,120,2006,"Action, Drama, Horror, Sci-Fi",98893,2006-05-21,Bong Joon Ho
168,tt0462485,2018-04-14,2018-04-14,,Poultrygeist: Night of the Chicken Dead,https://www.imdb.com/title/tt0462485/,movie,6.1,103,2006,"Comedy, Horror, Musical, Sci-Fi",7511,2006-12-29,Lloyd Kaufman
169,tt0464196,2018-04-14,2018-04-14,,Severance,https://www.imdb.com/title/tt0464196/,movie,6.5,96,2006,"Comedy, Horror, Thriller",35828,2006-07-18,Christopher Smith
170,tt0439815,2018-04-14,2018-04-14,,Slither,https://www.imdb.com/title/tt0439815/,movie,6.4,95,2006,"Comedy, Horror, Sci-Fi",71970,2006-03-31,James Gunn
171,tt0410730,2018-04-14,2018-04-14,,Taxidermia,https://www.imdb.com/title/tt0410730/,movie,6.9,91,2006,"Comedy, Drama, Horror",16010,2006-02-03,György Pálfi
172,tt0465203,2018-04-14,2018-04-14,,Ils,https://www.imdb.com/title/tt0465203/,movie,6.4,77,2006,"Horror, Thriller",28323,2006-04-08,"Xavier Palud, David Moreau"
173,tt0478988,2018-04-14,2018-04-14,,The Call of Cthulhu,https://www.imdb.com/title/tt0478988/,movie,7.2,47,2005,"Fantasy, Horror, Mystery, Thriller",7561,2005-10-07,Andrew Leman
174,tt0435625,2018-04-14,2018-04-14,,The Descent,https://www.imdb.com/title/tt0435625/,movie,7.2,99,2005,"Adventure, Horror, Thriller",194086,2005-03-11,Neil Marshall
175,tt0395584,2018-04-14,2018-04-14,,The Devil's Rejects,https://www.imdb.com/title/tt0395584/,movie,6.8,107,2005,Horror,90477,2005-07-22,Rob Zombie
176,tt0643109,2018-04-14,2018-04-14,[b]TV Episode[/b],Masters of Horror: John Carpenter's Cigarette Burns,https://www.imdb.com/title/tt0643109/,tvEpisode,7.6,59,2005,Horror,8504,2005-11-30,John Carpenter
177,tt0491399,2018-04-14,2018-04-14,,Haze,https://www.imdb.com/title/tt0491399/,movie,6.6,49,2005,"Horror, Mystery",2234,2005-04-28,Shin'ya Tsukamoto
178,tt0407236,2018-04-14,2018-04-14,,Sílení,https://www.imdb.com/title/tt0407236/,movie,7.3,118,2005,"Animation, Comedy, Drama, Horror",3368,2005-11-03,Jan Svankmajer
179,tt0453383,2018-04-14,2018-04-14,,Naboer,https://www.imdb.com/title/tt0453383/,movie,6.5,75,2005,"Horror, Mystery, Thriller",8528,2005-03-10,Pål Sletaune
180,tt0468820,2018-04-14,2018-04-14,,Noriko no shokutaku,https://www.imdb.com/title/tt0468820/,movie,7.1,159,2005,"Drama, Horror",3944,2005-07-04,Sion Sono
181,tt0930083,2018-04-14,2018-04-14,,Noroi,https://www.imdb.com/title/tt0930083/,movie,7.0,115,2005,"Horror, Mystery, Thriller",9080,2005-08-20,Kôji Shiraishi
182,tt0456630,2018-04-14,2018-04-14,,Rinne,https://www.imdb.com/title/tt0456630/,movie,6.2,96,2005,"Horror, Mystery",6020,2005-10-27,Takashi Shimizu
183,tt0492784,2018-04-14,2018-04-14,,Kimyô na sâkasu,https://www.imdb.com/title/tt0492784/,movie,7.0,108,2005,"Drama, Horror, Mystery, Thriller",4854,2005-10-14,Sion Sono
